Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-07-21 14:33:47	4	1	24.8925	-1.53779	1.0842e-19	6.93889e-18	31.7	60	0.996931	0.296791	0	
* 2	2022-07-21 14:35:12	4	2	14.4726	-1.37005	0.001	0.063	31.4	59	0.998405	0.947767	0	
* 3	2022-07-21 14:37:05	2	1	28.1226	-6.34065	0.003	0.122	30.7	60	0.998198	0.989802	0	
* 4	2022-07-21 14:38:30	2	2	16.4455	-2.20416	0.003	0.141	30.7	60	0.99894	0.948411	0	
* 5	2022-07-21 14:40:17	3	1	25.6799	-3.06987	0	0	30.4	59	0.996611	0.992693	0	
* 6	2022-07-21 14:41:42	3	2	11.635	-1.03793	0.0233333	0.301	30.1	60	0.999219	0.978338	0	
* 7	2022-07-21 14:43:31	1	1	21.9675	-1.33598	0.002	0.027	30.1	60	0.997947	0.461343	0	
* 8	2022-07-21 14:44:56	1	2	13.4128	-1.13362	0.013	0.252	29.8	60	0.998608	0.962133	0	
* 9	2022-07-21 14:47:15	5	1	17.8321	-1.94337	0	0	29.5	60	0.998146	0.893078	0	
* 10	2022-07-21 14:48:41	5	2	14.0634	-2.39609	0.012	0.2338	29.56	60	0.998391	0.988159	0	
* 11	2022-07-21 14:50:26	6	1	24.8598	-1.70958	0	0	29.2	60	0.997887	0.590353	0	
* 12	2022-07-21 14:51:51	6	2	12.2134	-1.19513	0.015	0.281	28.9	60	0.998474	0.946951	0	
* 13	2022-07-21 14:53:27	7	1	14.4505	-1.04514	0.016	0.285	28.9	59	0.998433	0.971671	0	
* 14	2022-07-21 14:54:53	7	2	11.9745	-1.02692	0.019	0.329	28.6	60	0.998316	0.964224	0	
* 15	2022-07-21 14:56:45	8	1	28.3729	-5.63375	0.021	0.349333	28.6	60	0.998639	0.998844	0	
* 16	2022-07-21 14:58:09	8	2	17.4606	-3.03908	0.013	0.252	28.6	59	0.998873	0.994077	0	
* 17	2022-07-21 15:00:50	10	1	10.5019	-0.348507	0.033	0.328	28.3	60	0.99929	0.942446	0	
* 18	2022-07-21 15:02:15	10	2	8.64802	-0.285766	0.033	0.329	28.3	60	0.997269	0.551385	0	
