label,obs,remark,Chamber,Version,InstrumentModel,InstrumentSerialNumber,RepNum,DeadBand,Area,Offset,ChamVolume,IrgaVolume,TotalVolume,gps_time,latitude,longitude,gps_hdop,altitude,gps_sats,TimeZone,ch4_F_o,ch4_F_cv,ch4_t_o,ch4_C_o,ch4_a,ch4_C_x,ch4_iter,ch4_sei,ch4_ses,ch4_r2,ch4_slope,ch4_domain,ch4_n,co2_F_o,co2_F_cv,co2_t_o,co2_C_o,co2_a,co2_C_x,co2_iter,co2_sei,co2_ses,co2_r2,co2_slope,co2_domain,co2_n,TIMESTAMP
48,1,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1611928586,38.8735,-76.5516,0.9,25,10,America/New_York,-0.466894,6.36664,0,1999.17,2.3957e-5,0,10,0.0977489,0.00300766,0.804449,-0.0478943,53,54,1.08988,6.42757,7.83423,439.347,0.00289163,478.01,5,0.230422,0.00708991,0.809279,0.111801,53,54,2021-01-29T13:56:27Z
48,1,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1611928671,38.8735,-76.5516,1.04,24.1,9,America/New_York,-0.588604,8.14038,0,2000.13,3.02433e-5,0,2,0.158704,0.00488321,0.676711,-0.0604904,53,54,1.5072,3.93828,8.1184,439.356,0.00444223,474.224,9,0.191113,0.00588039,0.915926,0.154894,53,54,2021-01-29T13:57:52Z
47,2,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1611928802,38.8736,-76.5515,0.86,22.7,12,America/New_York,-0.0755276,45.6308,0,1999.17,3.87204e-6,0,3,0.116532,0.00353128,-2.30355,-0.00774086,54,55,0.186023,30.5844,31.0198,439.375,3.62979e-4,491.901,6,0.192313,0.00582766,0.180564,0.0190656,54,55,2021-01-29T14:00:02Z
47,2,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1611928888,38.8736,-76.5515,0.95,22.4,10,America/New_York,-0.149737,15.3012,0,1999.49,7.69445e-6,0,10,0.0775024,0.00234856,0.184653,-0.015385,54,55,0.321542,18.8091,19.5467,439.455,0.0047332,446.435,5,0.204745,0.00620439,0.33211,0.0330373,54,55,2021-01-29T14:01:28Z
46,3,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1611929010,38.8735,-76.5516,0.92,21.3,10,America/New_York,-0.413574,11.4818,0,1999.7,2.11998e-5,0,10,0.157534,0.0048472,0.413926,-0.0423933,53,54,0.817566,20.7611,0,439.388,8.38412e-8,1000000,10,0.564737,0.0173765,-0.700534,0.0838044,53,54,2021-01-29T14:03:31Z
46,3,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1611929096,38.8735,-76.5516,0.9,21.2,11,America/New_York,-0.669708,15.4079,0,1998.57,3.4401e-5,0,2,0.343489,0.010568900000000001,-0.197772,-0.068753,53,54,1.4546,5.0738,13.4214,439.314,0.00338692,483.404,7,0.240935,0.00741337,0.874952,0.149331,53,54,2021-01-29T14:04:57Z
45,4,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1611929208,38.8736,-76.5516,0.86,20.4,12,America/New_York,-0.111088,11.1544,3.44543,1998.81,0.0100792,1997.68,4,0.0417429,0.00126494,0.473027,-0.0113907,54,55,0.870683,8.3789,9.28334,438.292,0.00862711,448.64,5,0.244917,0.00742172,0.654598,0.0892773,54,55,2021-01-29T14:06:49Z
45,4,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1611929295,38.8736,-76.5516,0.89,20.3,11,America/New_York,-0.16567,10.2297,0,1998.76,8.50047e-6,0,2,0.0561897,0.00172892,0.608131,-0.0169904,53,54,0.958146,6.73738,8.26838,437.314,0.00246027,477.254,5,0.212542,0.00653975,0.796634,0.0982629,53,54,2021-01-29T14:08:16Z
42,5,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1611929448,38.8735,-76.5517,0.85,20.1,12,America/New_York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-29T14:10:49Z
42,5,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1611929533,38.8736,-76.5517,0.95,19.5,9,America/New_York,-3.789,1.59901,1.15988,1998.55,0.455939,1997.7,3,0.15264,0.00469661,0.0294625,-0.388896,53,54,1.2417,4.75972,7.8239,438.351,0.0361355,441.878,3,0.19231,0.00591722,0.658892,0.127446,53,54,2021-01-29T14:12:15Z
