label,obs,remark,Chamber,Version,InstrumentModel,InstrumentSerialNumber,RepNum,DeadBand,Area,Offset,ChamVolume,IrgaVolume,TotalVolume,gps_time,latitude,longitude,gps_hdop,altitude,gps_sats,TimeZone,ch4_F_o,ch4_F_cv,ch4_t_o,ch4_C_o,ch4_a,ch4_C_x,ch4_iter,ch4_sei,ch4_ses,ch4_r2,ch4_slope,ch4_domain,ch4_n,co2_F_o,co2_F_cv,co2_t_o,co2_C_o,co2_a,co2_C_x,co2_iter,co2_sei,co2_ses,co2_r2,co2_slope,co2_domain,co2_n,TIMESTAMP
4,1,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1629921843,38.8744,-76.552,1.23,-0.5,9,America/New_York,-1.24004,15.3003,0,2099.94,7.01133e-5,0,10,0.73044,0.0224751,-0.149776,-0.147234,53,54,23.0194,1.4446,-2.80749,515.543,0.0207674,647.151,4,0.890307,0.0273941,0.97959,2.73316,53,54,2021-08-25T20:04:04Z
4,1,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1629921928,38.8744,-76.552,1.23,-1.2,8,America/New_York,-1.01419,3.71452,0,2094.51,5.75112e-5,0,2,0.139599,0.00429534,0.937945,-0.120458,53,54,10.8918,2.26825,2.63624,563.51,0.00700309,748.234,2,0.847424,0.0260746,0.969341,1.29364,53,54,2021-08-25T20:05:29Z
2,2,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1629922105,38.8744,-76.552,1.24,-4.1,8,America/New_York,-7.17674,1.13127,-1.475,2105.96,0.0249627,2071.83,10,0.124872,0.00378399,0.994867,-0.851954,54,55,41.5779,1.15015,0.270837,512.151,0.0258209,703.303,10,0.798532,0.0241979,0.993992,4.93573,54,55,2021-08-25T20:08:25Z
2,2,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1629922189,38.8744,-76.552,1.24,-2.8,8,America/New_York,-2.36992,2.10573,0,2098.95,1.34076e-4,0,10,0.167444,0.00515212,0.982812,-0.28142,53,54,16.741,1.60711,0.962854,562.916,0.00908258,781.79,4,0.791379,0.0243501,0.986591,1.98794,53,54,2021-08-25T20:09:50Z
3,3,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1629922323,38.8745,-76.5519,1.24,2,8,America/New_York,-1.40403,20.0353,0,2100.61,7.92898e-5,0,10,1.09973,0.0333252,-1.04274,-0.166557,54,55,15.187,1.74139,-9.034,545.304,0.0111859,706.364,4,0.830212,0.0251579,0.974898,1.8016,54,55,2021-08-25T20:12:03Z
3,3,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1629922408,38.8745,-76.5519,1.1,3.4,8,America/New_York,-1.30922,2.68717,0,2096.77,7.40786e-5,0,10,0.126993,0.00384826,0.968491,-0.155326,54,55,9.73585,2.14642,1.86261,529.591,0.0037656,836.333,2,0.715594,0.0216847,0.976996,1.15507,54,55,2021-08-25T20:13:28Z
1,4,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1629922526,38.8743,-76.5521,1.25,4.9,8,America/New_York,-1.75534,16.2145,0,2100.6,9.91137e-5,0,10,1.11173,0.0336887,-0.354846,-0.208198,54,55,21.8845,1.4039,-8.77006,505.975,0.0106384,749.968,5,0.807267,0.0244626,0.98894,2.59568,54,55,2021-08-25T20:15:26Z
1,4,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1629922611,38.8743,-76.552,1.01,7.2,8,America/New_York,-1.30807,3.66356,0,2101.07,7.38303e-5,0,10,0.179816,0.00544897,0.93712,-0.155123,54,55,9.7036,2.83404,0,505.788,1.15132e-6,1000000,10,1.00104,0.0303347,0.964048,1.15074,54,55,2021-08-25T20:16:51Z
5,5,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1629922743,38.8746,-76.5519,1.25,8.9,8,America/New_York,-2.67533,4.20984,0,2100.27,1.50991e-4,0,10,0.426894,0.0129362,0.912854,-0.317123,54,55,25.7081,1.33569,0.65924,486.55,0.0088847,829.537,5,0.842261,0.0255231,0.993546,3.04734,54,55,2021-08-25T20:19:03Z
5,5,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1629922826,38.8746,-76.5519,1.04,7.9,8,America/New_York,-1.93133,2.19709,0,2099.82,1.08982e-4,0,10,0.143925,0.00442846,0.980876,-0.228844,53,54,15.7459,1.68346,1.92875,470.969,0.00307114,1078.48,2,0.802516,0.0246928,0.989161,1.86574,53,54,2021-08-25T20:20:28Z
