label,remark,Chamber,Version,InstrumentModel,InstrumentSerialNumber,RepNum,DeadBand,Area,Offset,ChamVolume,IrgaVolume,TotalVolume,gps_time,latitude,longitude,gps_hdop,altitude,gps_sats,TimeZone,ch4_F_o,ch4_F_cv,ch4_t_o,ch4_C_o,ch4_a,ch4_C_x,ch4_iter,ch4_sei,ch4_ses,ch4_r2,ch4_slope,ch4_domain,ch4_n,co2_F_o,co2_F_cv,co2_t_o,co2_C_o,co2_a,co2_C_x,co2_iter,co2_sei,co2_ses,co2_r2,co2_slope,co2_domain,co2_n,TIMESTAMP
4,Use this measurement,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1668441882,38.8744,-76.5518,1.11,13.9,10,America/New_York,-2.87443,1.35906,2.90401,2028.66,0.0259445,2016.82,10,0.0874119,0.0026896,0.984346,-0.307039,53,54,10.7753,1.35616,2.56115,448.542,0.0226067,499.456,4,0.325992,0.0100305,0.986332,1.15099,53,54,2022-11-14T16:04:43Z
4,Use this measurement,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1668441969,38.8744,-76.5519,1.12,14.4,10,America/New_York,-2.18606,1.26993,3.18892,2028.55,0.019609,2016.65,8,0.0561953,0.00170289,0.991655,-0.233331,54,55,7.7281,1.28657,3.28587,447.974,0.0164513,498.114,5,0.206438,0.00625569,0.992383,0.824866,54,55,2022-11-14T16:06:09Z
2,Use this measurement,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1668442087,38.8744,-76.5519,1.43,14.9,8,America/New_York,-0.881616,2.6355,0,2029.21,4.64586e-5,0,10,0.0753471,0.00228325,0.969315,-0.0942745,54,55,2.00002,4.32265,0,447.138,2.13965e-7,1000000,10,0.29613,0.00897363,0.909755,0.213869,54,55,2022-11-14T16:08:07Z
2,Use this measurement,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1668442172,38.8743,-76.5519,2.04,14.8,7,America/New_York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-14T16:09:33Z
3,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1668442331,38.8744,-76.552,1.14,12,8,America/New_York,-1.94465,1.35868,4.58783,2029.76,0.0393064,2024.46,5,0.0593291,0.00182551,0.973989,-0.208546,53,54,7.37355,1.52986,5.73827,449.122,0.0373895,470.271,7,0.288554,0.0088786,0.964114,0.790745,53,54,2022-11-14T16:12:12Z
3,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1668442417,38.8743,-76.552,0.98,10.9,11,America/New_York,-1.24237,1.58639,2.9019,2030.89,0.0257936,2025.72,10,0.0527156,0.00159744,0.969769,-0.133249,54,55,3.49921,1.98684,2.209,447.427,0.0116379,479.676,4,0.209745,0.00635592,0.970729,0.375302,54,55,2022-11-14T16:13:37Z
1,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1668442541,38.8744,-76.552,1.2,8.8,8,America/New_York,-0.831636,3.86136,0,2029.91,4.39001e-5,0,10,0.107706,0.00331403,0.92926,-0.0891134,53,54,2.94687,2.67507,4.5766,447.134,0.00271266,563.54,2,0.252966,0.00778358,0.964593,0.31577,53,54,2022-11-14T16:15:42Z
1,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1668442627,38.8744,-76.552,0.91,9.3,11,America/New_York,-0.804367,3.45185,0,2030.22,4.25779e-5,0,10,0.0939029,0.00284554,0.943752,-0.0864425,54,55,2.87425,2.82996,2.79562,446.269,0.00184521,613.667,2,0.268327,0.00813112,0.960591,0.308885,54,55,2022-11-14T16:17:08Z
5,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1668442780,38.8746,-76.552,0.87,11.1,12,America/New_York,-1.30287,7.20003,0,2030.82,6.85398e-5,0,10,0.327257,0.00991688,0.733339,-0.139192,54,55,2.48435,3.20634,9.1702,446.686,0.00588012,491.823,9,0.265669,0.00805059,0.940183,0.265414,54,55,2022-11-14T16:19:41Z
5,,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1668442866,38.8745,-76.5519,1.04,10,8,America/New_York,-1.46317,4.8145,0,2031.24,7.70086e-5,0,10,0.238987,0.00735346,0.885973,-0.156423,53,54,2.39015,8.62888,0,446.277,2.55638e-7,1000000,10,0.711371,0.0218884,0.635974,0.255524,53,54,2022-11-14T16:21:07Z
