label,obs,rep,Chamber,Version,InstrumentModel,InstrumentSerialNumber,RepNum,DeadBand,Area,Offset,ChamVolume,IrgaVolume,TotalVolume,gps_time,latitude,longitude,gps_hdop,altitude,gps_sats,TimeZone,timestamp,ch4_F_o,ch4_F_cv,ch4_t_o,ch4_C_o,ch4_a,ch4_C_x,ch4_iter,ch4_sei,ch4_ses,ch4_r2,ch4_slope,ch4_domain,ch4_n,co2_F_o,co2_F_cv,co2_t_o,co2_C_o,co2_a,co2_C_x,co2_iter,co2_sei,co2_ses,co2_r2,co2_slope,co2_domain,co2_n,TIMESTAMP
4,1,1,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1670431805,38.8745,-76.5519,1.5,20.4,6,America/New_York,1,-1.63293,5.90452,0,2142.78,8.42819e-5,0,10,0.346353,0.0104956,0.826718,-0.180598,54,55,7.28192,5.27503,0,471.187,8.05741e-7,1000000,10,1.37423,0.0416434,0.861644,0.805361,54,55,2022-12-07T16:50:05Z
4,1,2,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1670431888,38.8744,-76.5519,1.46,21.9,7,America/New_York,1,-2.57682,8.81491,0,2140.6,1.33333e-4,0,10,0.811914,0.024982,0.614742,-0.28541299999999997,53,54,10.6042,8.97484,0,480.585,1.1751e-6,1000000,10,3.40268,0.104698,0.602844,1.17454,53,54,2022-12-07T16:51:30Z
2,2,1,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1670432597,38.8744,-76.5519,0.89,18.5,13,America/New_York,1,-2.98746,8.09974,0,2143.26,1.53793e-4,0,10,0.860452,0.0264754,0.680918,-0.329619,53,54,10.839,3.57853,8.97023,471.682,0.00176711,1148.45,7,1.33034,0.0409335,0.938392,1.19591,53,54,2022-12-07T17:03:18Z
2,2,2,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1670432682,38.8744,-76.552,0.89,18.2,13,America/New_York,1,-5.96921,4.75789,0,2136.93,3.08612e-4,0,10,0.994901,0.0306123,0.888559,-0.659481,53,54,20.905,4.65023,0,494.234,2.31074e-6,1000000,10,3.40141,0.104659,0.894029,2.3096,53,54,2022-12-07T17:04:43Z
3,3,1,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1670432788,38.8744,-76.552,0.83,16.8,14,America/New_York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-07T17:06:28Z
3,3,2,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1670432873,38.8744,-76.552,0.98,16.7,12,America/New_York,1,-0.278505,13.9448,0,2141.92,1.43752e-5,0,10,0.141293,0.00428161,0.0311585,-0.0307904,54,55,3.60913,2.50554,6.97365,471.667,0.0262851,486.847,5,0.299887,0.00908749,0.91398,0.399011,54,55,2022-12-07T17:07:54Z
1,4,1,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1670432996,38.8744,-76.5519,0.87,16.6,13,America/New_York,1,-1.8631,6.76244,0,2143.96,9.5979e-5,0,10,0.446824,0.0137484,0.773393,-0.205775,53,54,6.29165,7.03792,0,468.184,6.95225e-7,1000000,10,1.57186,0.0483649,0.752498,0.6949,53,54,2022-12-07T17:09:56Z
1,4,2,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1670433081,38.8744,-76.552,0.84,18.4,14,America/New_York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-07T17:11:21Z
5,5,1,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1670433248,38.8745,-76.5519,1.35,20.6,11,America/New_York,1,-5.43465,11.4201,0,2142.34,2.8002e-4,0,10,2.2172,0.0682215,0.375238,-0.599897,53,54,9.83618,12.4289,0,472.615,1.08627e-6,1000000,10,4.37027,0.13447,0.253069,1.08576,53,54,2022-12-07T17:14:09Z
5,5,2,82s-1050,1.1,LI-7810,TG10-01087,2,5,318,8,4244.1,46.96,6835.06,1670433333,38.8746,-76.5519,0.87,20.5,13,America/New_York,1,-7.48934,3.28183,13.9844,2133.33,2.92732e-4,-693.609,9,0.849653,0.025747,0.951636,-0.827537,54,55,13.7689,13.360900000000001,0,484.248,1.52213e-6,1000000,10,6.68749,0.202651,0.104991,1.5214,54,55,2022-12-07T17:15:34Z
