LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-7810,LI-7810,LI-7810,LI-7820,LI-7820,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,CHAMBER,CHAMBER
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,CH4_DRY,H2O,N2O_DRY,H2O,FCH4,FCH4_dCdt,FCH4_CV,FCH4_R2,FCH4_SEI,FCH4_SES,FCH4_A,FCH4_Cx,FCH4_C0,FCH4_T0,FCH4_ITER,FCH4_N,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N,FH2O,FH2O_dCdt,FH2O_CV,FH2O_R2,FH2O_SEI,FH2O_SES,FH2O_A,FH2O_Cx,FH2O_C0,FH2O_T0,FH2O_ITER,FH2O_N,FH2O,FH2O_dCdt,FH2O_CV,FH2O_R2,FH2O_SEI,FH2O_SES,FH2O_A,FH2O_Cx,FH2O_C0,FH2O_T0,FH2O_ITER,FH2O_N,FN2O,FN2O_dCdt,FN2O_CV,FN2O_R2,FN2O_SEI,FN2O_SES,FN2O_A,FN2O_Cx,FN2O_C0,FN2O_T0,FN2O_ITER,FN2O_N,SWC_1,TS_1
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[nmol+1mol-1],[mmol+1mol-1],[nmol+1mol-1],[mmol+1mol-1],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[#],[#],[#],[nmol+1mol-1],[nmol+1mol-1],[s],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#],[mmol+1m-2s-1],[mmol+1mol-1s-1],[#],[#],[#],[#],[#],[mmol+1mol-1],[mmol+1mol-1],[s],[#],[#],[mmol+1m-2s-1],[mmol+1mol-1s-1],[#],[#],[#],[#],[#],[mmol+1mol-1],[mmol+1mol-1],[s],[#],[#],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[#],[#],[#],[nmol+1mol-1],[nmol+1mol-1],[s],[#],[#],[m+3m-3],[C]
20210822,000040,234,1,1,1,38.8736,-76.5522,22.42,101.291,545.847,1980.52,26.6263,306.723,26.8767,-1.01094,-0.114221,1.09102,0.997841,0,0.000343672,0.00655479,1963.1,1980.52,-0.917809,8,99,21.2584,2.40188,1.05914,0.999548,0,0.00356205,0.00603101,944.102,545.847,5.75375,9,99,0.012386,0.00139943,1.53125,0.98754,0,1.56143e-05,0.00135547,27.6587,26.6263,50,2,99,0.012611,0.00142522,1.14839,0.997555,0,6.66981e-06,0.00233645,27.4867,26.8767,38.6426,4,99,0.050551,0.00571297,19.0546,0.0795176,0,0.00108693,0.0313803,306.905,306.723,41.3349,4,99,-9999,0.355625
20210822,000350,234.003,2,1,1,38.8737,-76.5522,22.31,101.303,534.092,1982.63,26.5244,306.354,26.7777,-0.976479,-0.110264,1.12411,0.993393,0,0.000446487,0.00909828,1970.51,1982.63,-11.7602,10,99,20.6697,2.33403,1.07245,0.997954,0,0.0052444,0.00914739,789.25,534.092,-11.2263,7,99,0.0349731,0.00394917,1.05406,0.999681,0,4.21338e-06,0.0103669,26.9053,26.5244,15.488,5,99,0.0347264,0.00392233,1.05379,0.999673,0,4.07819e-06,0.0100362,27.1685,26.7777,10.0759,5,99,-0.00263097,-0.000297167,366.756,0.000765798,0,0.00108987,9.70012e-07,0,306.354,483.675,2,99,0.372792,0.033
20210822,000700,234.005,3,1,1,38.8736,-76.5522,22.3,101.303,547.482,1985.51,26.4978,306.534,26.7515,-0.265314,-0.0299568,1.60055,0.986016,0,0.000362232,1.50877e-05,0,1985.51,-9.5205,10,99,6.33794,0.715621,1.07392,0.999394,0,0.00165752,0.00102489,1245.72,547.482,-5.24742,2,99,0.0154673,0.00174643,1.09724,0.998751,0,5.63983e-06,0.00354782,26.9901,26.4978,38.6027,6,99,0.0154988,0.00175043,1.07277,0.999307,0,3.95979e-06,0.00449954,27.1405,26.7515,31.1284,6,99,0.0662607,0.0074835,13.8408,0.279741,0,0.0010328,0.00214317,310.026,306.534,-16.7664,3,99,0.3936,23.36
20210822,001010,234.007,4,1,1,38.8737,-76.5522,22.16,101.303,518.826,1988.12,26.3586,306.372,26.5992,-0.407765,-0.0460135,1.37098,0.992492,0,0.000406338,2.31442e-05,0,1988.12,8.92687,3,99,11.5429,1.30254,1.06488,0.999348,0,0.00240966,0.00555257,753.408,518.826,7.08282,7,99,0.0200455,0.002262,4.68526,0.828684,0,0.000103291,0.00385594,26.9452,26.3586,50,6,99,0.0224614,0.00253525,1.36806,0.991289,0,2.2273e-05,0.004756,27.1323,26.5992,50,4,99,0.00910387,0.00102756,103.399,0.00955146,0,0.00106244,1.02788e-09,1e+06,306.372,134.03,2,99,0.363,23.3
20210822,003040,234.021,1,1,1,38.8736,-76.5522,22.24,101.286,573.877,2012.56,26.4465,306.841,26.6869,-0.630704,-0.0712086,1.30795,0.994111,0,0.000556495,3.5382e-05,0,2012.56,12.7542,10,99,21.4897,2.42626,1.05288,0.999816,0,0.00224329,0.00631754,957.929,573.877,4.93153,8,99,0.00997597,0.00112632,2.09894,0.968932,0,2.04778e-05,1.12635e-09,1e+06,26.4465,90.0382,6,99,0.00819254,0.000925194,6.26335,0.768802,0,5.71299e-05,0.00337971,26.9606,26.6869,50,4,99,0.040867,0.00461515,25.4959,0.10665,0,0.00117568,0.00243622,308.735,306.841,-2.31088,2,99,-9999,0.355875
20210822,003350,234.023,2,1,1,38.8736,-76.5522,22.15,101.293,557.494,2019,26.3303,306.813,26.5801,-0.449351,-0.0507081,1.30476,0.994191,0,0.000393565,2.51154e-05,0,2019,19.0786,1,99,14.543,1.64114,1.07728,0.99854,0,0.00403747,0.00620821,821.845,557.494,-5.6591,8,99,0.0250454,0.00282632,1.08004,0.998984,0,7.28706e-06,0.00603848,26.7983,26.3303,29.5316,10,99,0.0262844,0.00296689,1.06596,0.99934,0,5.64988e-06,0.00715473,26.9948,26.5801,23.1159,10,99,0.0181644,0.00205034,80.5379,0.0156477,0,0.00165116,2.05097e-09,1e+06,306.813,109.428,3,99,0.369708,0.0332916
20210822,003700,234.026,3,1,1,38.8736,-76.5522,22.18,101.283,564.298,2002.72,26.2912,306.997,26.5419,-0.245922,-0.0277558,1.58083,0.986612,0,0.000328279,1.38591e-05,0,2002.72,-2.10425,10,99,7.7484,0.874517,1.07626,0.99905,0,0.0021092,0.00316585,840.533,564.298,-13.5522,9,99,0.0179249,0.00202308,1.10254,0.998493,0,6.87322e-06,0.00477517,26.7149,26.2912,33.799,2,99,0.0185259,0.00209145,1.08359,0.99887,0,5.68911e-06,0.0054612,26.9249,26.5419,25.7555,10,99,0.101815,0.0114942,16.4278,0.0575327,0,0.00188439,0.0119216,307.961,306.997,-9.02019,2,99,0.3922,23.3
20210822,004010,234.028,4,1,1,38.8735,-76.5521,22.06,101.279,553.887,2006.51,26.2299,306.735,26.4782,-0.261917,-0.0295487,11.7493,0.39948,0,0.00345791,0.00286518,1996.2,2006.51,50,4,99,10.6529,1.20183,1.07425,0.999057,0,0.00278294,0.00486707,800.818,553.887,7.02449,9,99,0.0151371,0.00170772,8.15784,0.426118,0,0.000138157,0.00100703,27.9257,26.2299,50,3,99,0.0150979,0.00170373,4.39117,0.827641,0,7.26478e-05,0.00177879,27.436,26.4782,50,3,99,0.00081318,9.17641e-05,2051.71,2.44897e-05,0,0.00188273,9.17923e-11,1e+06,306.735,2308.42,2,99,0.361,23
