LI-8200,CHAMBER,LI-8200,,LI-7810,LI-7810,LI-8200
DOY initial_value,TA initial_value,PA initial_value,VOLUME_TOTAL,FCO2_DRY,FCO2_DRY LIN,LABEL
[#],[C],[kPa],[cm+3],[umol+1m-2s-1],[umol+1m-2s-1],[#]
106.592440,12.514500,101.620000,6835.060000,3.045140,2.852060,2
106.593430,12.940910,101.630000,6835.060000,0.000000,0.000000,2
106.594780,12.565610,101.620000,6835.060000,2.762110,2.300480,3
106.595780,12.971740,101.630000,6835.060000,2.442750,1.922340,3
106.596980,13.388300,101.590000,6835.060000,1.570550,1.360450,4
106.597960,13.174280,101.580000,6835.060000,1.948900,1.643590,4
106.599130,13.024080,101.590000,6835.060000,3.014800,2.506630,5
106.600120,13.594820,101.580000,6835.060000,2.829610,2.472080,5
106.601320,13.281880,101.600000,6835.060000,3.274220,3.274220,6
106.602330,14.243230,101.600000,6835.060000,3.539690,2.976900,6
106.603470,13.955540,101.610000,6835.060000,3.286920,2.801210,7
106.604470,14.589850,101.600000,6835.060000,3.452580,2.432410,7
106.605590,14.078940,101.600000,6835.060000,2.628520,2.319880,8
106.606570,14.725010,101.610000,6835.060000,2.930920,2.191750,8
106.607750,13.618820,101.620000,6835.060000,2.117340,2.114150,9
106.608750,13.765230,101.620000,6835.060000,2.727220,2.165110,9
106.609970,13.362600,101.610000,6835.060000,3.390490,2.985140,10
106.610950,13.886340,101.600000,6835.060000,2.553010,2.553010,10
106.612050,13.745780,101.600000,6835.060000,3.131700,2.773780,11
106.613030,13.895570,101.600000,6835.060000,3.369920,3.369920,11
106.614200,13.719220,101.590000,6835.060000,0.732730,0.732730,12
106.615190,14.332830,101.590000,6835.060000,1.568350,0.743720,12
106.616370,13.757930,101.580000,6835.060000,2.857410,2.426760,13
106.617360,14.901050,101.590000,6835.060000,2.119430,1.646800,13
106.618560,13.771000,101.570000,6835.060000,3.021020,3.021020,14
106.619560,14.405090,101.580000,6835.060000,2.702940,2.702940,14
106.620670,14.395610,101.580000,6835.060000,2.787170,2.622020,15
106.621670,14.439070,101.570000,6835.060000,2.898100,2.898100,15
106.625490,15.072670,101.560000,6835.060000,2.101490,1.769100,16
106.626480,15.317840,101.540000,6835.060000,0.000000,0.000000,16
106.631340,15.349880,101.530000,6835.060000,3.535370,2.934650,17
106.632340,14.848730,101.520000,6835.060000,3.518760,2.788040,17
106.633750,13.200160,101.540000,6835.060000,2.020580,2.020580,18
106.634750,13.195590,101.540000,6835.060000,2.412530,1.886180,18
